,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
982,1.02,1.7,0.5157,0.0115,0.0115,0.024,59.43,3.03,55.64,3.4128,2.12,0.69,0.11,0.06,1.94,115.07,-0.1475,0.4984,1.7,0.010700000000000001,0.2781,0
338,2.17,0.89,0.192,0.012,0.012,0.12,58.32,1.54,70.33,0.2061,7.65,2.44,-2.06,4.24,1.34,128.66,0.1805,0.6687000000000001,0.89,0.0101,0.07780000000000001,0
952,1.66,0.68,-0.5817,0.07200000000000001,0.0673,0.1,62.7,5.74,49.82,-0.7045999999999999,1.56,0.22,0.06,0.19,1.11,112.52,0.0506,0.6175999999999999,0.68,0.029900000000000003,0.21,0
823,1.29,0.85,0.3221,0.1174,0.1143,0.6,110.54,1.63,10.04,0.3393,6.1,3.25,1.1,1.61,1.48,120.58,0.2865,0.5583,0.85,0.0722,0.4,0
1406,0.67,1.21,-0.4607,0.013600000000000001,0.013600000000000001,0.0451,69.12,1.3,34.15,-0.4721,3.32,1.34,0.07,0.29,1.77,103.28,-0.3419,0.40009999999999996,1.21,0.0304,0.1751,0
1190,0.54,1.36,0.3385,0.0268,0.0262,0.1531,75.33,2.39,55.47,0.5165,5.85,2.73,0.29,1.6,2.33,130.8,0.07490000000000001,0.3493,1.42,0.0254,0.18530000000000002,0
1116,0.69,1.39,-0.5128,0.016200000000000003,0.016,0.058,73.86,4.87,65.54,-1.5369,3.6,0.48,0.09,1.84,1.3,139.4,0.1188,0.3957,0.84,0.0108,0.1508,0
347,2.62,0.9,0.6939,0.0666,0.0658,0.66,54.28,3.32,85.76,0.5544,9.58,4.17,-1.39,4.33,1.29,140.04,0.0603,0.6876000000000001,0.92,0.031200000000000002,0.096,0
483,1.16,1.03,0.24170000000000003,0.1881,0.18460000000000001,0.5476,107.85,2.5,36.12,0.2889,2.97,1.35,0.15,0.23,1.34,143.97,0.1852,0.5192,1.03,0.11320000000000001,0.5127,0
495,0.52,1.42,3.4596,0.0311,0.0313,0.2816,209.32,1.29,94.72,1.5245,3.73,1.99,0.94,0.23,1.87,304.04,-0.3936,0.3369,1.42,0.039,0.5339,0
533,4.64,0.38,0.0358,0.1092,0.0964,0.45,86.91,4.14,17.72,0.07400000000000001,4.69,0.47,-0.41,2.94,0.85,104.63,0.1063,0.8289,0.38,0.0091,0.37549999999999994,0
821,1.14,0.53,0.1193,0.18469999999999998,0.175,1.02,125.44,2.87,10.64,0.0759,7.6,3.87,2.18,2.4,1.18,136.07,0.1938,0.5278,0.53,0.0593,0.4165,0
831,1.88,0.71,0.08560000000000001,0.1149,0.12140000000000001,0.68,104.1,1.73,10.55,0.0165,6.49,3.26,0.93,2.05,1.23,114.65,0.1605,0.6401,0.71,0.0815,0.391,0
458,1.41,1.73,4.5007,0.0454,0.04,0.0721,100.12,1.8,40.49,6.6079,1.68,0.26,0.33,0.22,1.68,140.62,2.5637,0.4495,1.32,0.08529999999999999,0.5049,0
930,3.93,0.26,45.015100000000004,0.2866,0.4138,0.317,60.83,2.96,42.75,42.2625,0.77,-0.45,0.02,0.09,0.41,103.58,-0.0269,0.7796,0.26,0.21760000000000002,0.2544,0
680,1.0,1.42,0.0626,0.1891,0.1693,1.0711,35.63,10.1,67.4,0.0397,6.33,4.38,0.92,0.19,1.84,103.03,0.046799999999999994,0.46399999999999997,1.42,0.0441,0.0795,0
1071,1.13,1.42,0.26030000000000003,0.08800000000000001,0.0857,1.12,41.12,6.57,137.02,0.2667,18.27,5.16,-5.13,11.6,1.76,178.14,0.24559999999999998,0.5246,1.42,0.0443,0.0941,0
473,0.73,1.27,-0.0125,0.0,0.037599999999999995,0.1503,113.16,0.8,53.49,0.020499999999999997,4.0,1.81,1.18,0.24,1.63,166.65,0.0177,0.3967,1.27,0.109,0.4241,0
1133,0.88,0.91,0.35229999999999995,0.0,0.0084,0.0327,55.61,1.62,59.7,0.3204,3.9,0.69,0.04,1.99,1.33,115.32,0.022099999999999998,0.4547,0.91,0.0154,0.12560000000000002,0
