,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
1222,2.41,0.83,-0.2161,0.0451,0.0441,0.28,77.27,2.33,157.84,-0.26489999999999997,6.06,3.31,-0.48,1.58,1.18,235.11,0.12210000000000001,0.653,0.88,0.057800000000000004,0.2518,0
1362,0.8,0.89,0.2977,0.019,0.018500000000000003,0.049,58.28,1.54,24.56,0.3292,2.67,0.38,0.14,1.21,1.45,82.84,0.1198,0.44329999999999997,0.89,0.025099999999999997,0.16449999999999998,0
1037,0.44,1.66,0.0288,0.064,0.051,0.18,94.63,3.8,209.61,-0.0824,3.37,0.75,0.0047,1.53,2.23,304.23,0.2158,0.3031,1.66,0.0929,0.4053,1
646,1.62,0.84,0.6201,0.1223,0.12050000000000001,0.3075,33.96,5.3,54.97,0.6079,4.66,1.41,0.35,1.86,1.28,88.93,0.23379999999999998,0.6056,0.84,0.0424,0.1001,0
173,0.93,0.92,0.12789999999999999,0.0843,0.0839,0.377,113.09,1.59,23.45,0.12539999999999998,4.49,2.17,0.01,1.11,1.78,136.54,0.18109999999999998,0.4808,0.92,0.0665,0.4242,0
675,1.37,1.12,0.16690000000000002,0.1678,0.15869999999999998,0.7829,37.63,7.17,65.64,0.147,4.93,3.35,0.61,0.12,1.55,103.27,0.1471,0.5687,1.12,0.0452,0.08130000000000001,0
1290,0.52,0.81,0.4548,0.0687,0.06860000000000001,0.621,82.83,2.17,22.37,0.37270000000000003,9.05,2.38,0.49,5.53,1.96,105.2,0.3371,0.3411,0.81,0.07780000000000001,0.4058,0
1500,3.15,0.75,0.419,0.1524,0.14279999999999998,0.73,39.66,9.08,76.18,0.3654,5.48,2.8,-1.93,1.41,1.14,115.84,0.305,0.7495,0.75,0.0172,0.0779,0
1124,0.8,0.79,0.9431,0.0169,0.0168,0.0821,75.31,4.78,60.74,-1.0515999999999999,3.68,0.58,0.39,1.95,1.24,136.05,0.0404,0.43229999999999996,0.79,0.0118,0.1374,0
934,3.68,0.88,-0.4686,0.2146,0.18539999999999998,0.17,52.53,3.43,39.93,-0.8818,0.91,-0.37,0.07,0.15,1.11,92.46,0.2917,0.7725,0.88,0.0885,0.272,0
